更新时间,#genre#
CCTV6,http://116.226.25.48:4022/rtp/239.45.1.70:5140$1920x1080
CCTV6,http://101.83.173.152:9999/rtp/239.45.1.70:5140$1920x1080
CCTV6,http://116.226.14.76:8888/rtp/239.45.1.70:5140$1920x1080
CCTV6,http://218.78.180.91:9999/rtp/239.45.1.70:5140$1920x1080
CCTV6,http://223.11.153.2:7777/rtp/239.1.1.13:8013$1920x1080
CCTV6,http://223.10.61.150:8083/rtp/239.1.1.13:8013$1920x1080
CCTV6,http://223.10.39.207:8083/rtp/239.1.1.13:8013$1920x1080
CCTV6,http://110.178.77.222:8083/rtp/239.1.1.13:8013$1920x1080
CCTV6,http://223.10.0.119:8083/rtp/239.1.1.13:8013$1920x1080
CCTV6,http://223.10.39.207:8082/rtp/239.1.1.13:8013$1920x1080
CCTV6,http://58.19.38.162:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000016466/1.m3u8
CCTV6,http://122.139.47.206:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://61.136.172.236:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://119.163.228.205:9901/tsfile/live/0006_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,https://vip.taoiptv.cn/source/itv.php?id=CCTV650FPS.m3u8&sign=06zcwd$1920x1080
CCTV6,http://1b6467f415.iok.la:9931/tsfile/live/1026_1.m3u8
CCTV6,http://123.189.36.11:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010214/
CCTV6,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010214/
CCTV7,http://221.213.69.82:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://183.24.48.6:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://113.57.20.158:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://223.75.148.190:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://118.122.189.74:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://59.62.8.250:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://112.234.23.81:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://119.163.57.184:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://119.163.228.205:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://58.57.21.166:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://116.226.25.48:4022/rtp/239.45.3.56:5140$1920x1080
CCTV7,http://101.83.173.152:9999/rtp/239.45.3.56:5140$1920x1080
CCTV7,http://116.226.14.76:8888/rtp/239.45.3.56:5140$1920x1080
CCTV7,http://218.78.180.91:9999/rtp/239.45.3.56:5140$1920x1080
CCTV7,http://223.11.153.2:7777/rtp/239.1.1.14:8014$1920x1080
CCTV7,http://223.10.61.150:8083/rtp/239.1.1.14:8014$1920x1080
CCTV7,http://223.10.39.207:8083/rtp/239.1.1.14:8014$1920x1080
CCTV7,http://110.178.77.222:8083/rtp/239.1.1.14:8014$1920x1080
CCTV7,http://223.10.0.119:8083/rtp/239.1.1.14:8014$1920x1080
CCTV7,http://223.10.39.207:8082/rtp/239.1.1.14:8014$1920x1080
CCTV7,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000380/index.m3u8?IAS
CCTV7,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV7,http://114.243.97.208:8822/rtp/239.3.1.61:8104$1920x1080
CCTV7,http://61.157.139.15:9901/tsfile/live/2377_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002141/index.m3u8
CCTV7,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225733/index.m3u8?
CCTV7,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000024341/1.m3u8
CCTV7,http://223.241.247.214:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://101.43.66.162/migunew.php?id=cctv7
CCTV8,http://61.138.128.226:19901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://124.128.73.58:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://220.249.114.102:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://218.3.138.25:1111/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://119.163.228.205:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://61.136.67.238:50085/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://58.51.111.46:1111/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://117.27.190.42:9998/tsfile/live/23239_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://220.164.192.48:50085/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://60.12.183.46:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://116.226.25.48:4022/rtp/239.45.1.71:5140$1920x1080
CCTV8,http://101.83.173.152:9999/rtp/239.45.1.71:5140$1920x1080
CCTV8,http://116.226.14.76:8888/rtp/239.45.1.71:5140$1920x1080
CCTV8,http://218.78.180.91:9999/rtp/239.45.1.71:5140$1920x1080
CCTV8,http://223.11.153.2:7777/rtp/239.1.1.15:8015$1920x1080
CCTV8,http://223.10.61.150:8083/rtp/239.1.1.15:8015$1920x1080
CCTV8,http://223.10.39.207:8083/rtp/239.1.1.15:8015$1920x1080
CCTV8,http://110.178.77.222:8083/rtp/239.1.1.15:8015$1920x1080
CCTV8,http://223.10.0.119:8083/rtp/239.1.1.15:8015$1920x1080
CCTV8,http://223.10.39.207:8082/rtp/239.1.1.15:8015$1920x1080
CCTV8,http://124.128.73.58:9901/tsfile/live/0008_1.m3u8
CCTV8,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226008/index.m3u8
CCTV8,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8id=CCTV8HD
CCTV8,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8?
CCTV8,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226008/index.m3u8
CCTV8,http://60.220.167.69:8083/rtp/226.0.2.211:9600$1920x1080
CCTV8,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226008/index.m3u8
CCTV8,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/1.m3u8?icpid=88888888&from=1&hms_devid=1012&vqe=3
CCTV8,http://114.55.117.163:8081/iptv/itv.php?id=CCTV8HEVC.m3u8&sign=06zcwd$1920x1080
CCTV8,http://223.151.49.74:59901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://59.173.243.210:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://223.241.247.214:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://58.220.219.14:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://61.138.128.226:19901/tsfile/live/0009_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://58.48.37.158:1111/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://202.100.46.58:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://58.48.5.186:1111/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://61.136.67.238:50085/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://58.57.21.166:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://61.157.139.15:9901/tsfile/live/2379_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://116.226.25.48:4022/rtp/239.45.3.4:5140$1920x1080
CCTV9,http://101.83.173.152:9999/rtp/239.45.3.4:5140$1920x1080
CCTV9,http://116.226.14.76:8888/rtp/239.45.3.4:5140$1920x1080
CCTV9,http://218.78.180.91:9999/rtp/239.45.3.4:5140$1920x1080
CCTV9,http://223.11.153.2:7777/rtp/239.1.1.16:8016$1920x1080
CCTV9,http://223.10.61.150:8083/rtp/239.1.1.16:8016$1920x1080
CCTV9,http://223.10.39.207:8083/rtp/239.1.1.16:8016$1920x1080
CCTV9,http://110.178.77.222:8083/rtp/239.1.1.16:8016$1920x1080
CCTV9,http://223.10.0.119:8083/rtp/239.1.1.16:8016$1920x1080
CCTV9,http://223.10.39.207:8082/rtp/239.1.1.16:8016$1920x1080
CCTV9,http://1732e975z9.zicp.fun:8082/hls/10/index.m3u8
